Daemon iniciado ter 05 mai 2026 20:44:40 -03
dom 10 mai 2026 20:00:43 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:01:45 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:02:50 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:03:56 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:04:59 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:06:00 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:07:02 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:08:05 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:09:10 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:10:15 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:11:18 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:12:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:13:25 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:14:20 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:15:23 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:16:28 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:17:32 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:18:26 -03 | ALERTA: CPU alta (98%)
dom 10 mai 2026 20:19:24 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:20:26 -03 | ALERTA: CPU alta (100%)
dom 10 mai 2026 20:21:29 -03 | ALERTA: CPU alta (100%)
